text,label,sentiment
word first appeared latin text town gaeta still part byzantine empire 997 ad text state tenant certain property give bishop gaeta duodecim pizze twelve every christmas day another twelve every easter sunday suggested etymology include byzantine greek late latin pitta cf,pizza,0.2732
modern greek pitta bread apulia calabrian byzantine italy pitta round flat bread baked oven high temperature sometimes topping,pizza,0.0
word pitta turn traced either ancient greek pikte fermented pastry latin became picta ancient greek pissa attic pitta pitch tea bran bran bread,pizza,0.0
etymological dictionary italian language explains coming dialectal pinza clamp modern italian pinze plier pincer tongs forceps,pizza,0.0
origin latin pinsere pound stamp,pizza,0.0
lombardic word bizzo pizzo meaning mouthful related english word bit bite brought italy middle 6th century ad invading lombard,pizza,0.0
food similar made since neolithic age,pizza,0.0
record people adding ingredient bread make flavorful found throughout ancient history,pizza,0.0
6th century bc persian soldier achaemenid empire rule darius great baked flatbread cheese date top battle shield ancient greek supplemented bread oil herb cheese,pizza,0.5106
early reference like food occurs aeneid celaeno queen harpy foretells trojan would find peace forced hunger eat table book iii,pizza,0.25
book vii aeneas men served meal includes round cake like pita bread topped cooked vegetable,pizza,-0.2263
eat bread realize table prophesied celaeno,pizza,0.0
first mention word come notarial document written latin dating may 997 ad gaeta demanding payment twelve pork shoulder pork kidney christmas day 12 couple chicken easter day,pizza,-0.2263
modern evolved similar flatbread dish naples italy 18th early 19th century,pizza,0.0
time flatbread often topped ingredient garlic salt lard cheese,pizza,0.0
uncertain tomato first added many conflicting claim,pizza,-0.5994
1830 sold open air stand bakery,pizza,0.0
popular contemporary legend hold archetypal margherita invented 1889 royal palace capodimonte commissioned neapolitan iolo maker raffaele esposito create honor visiting queen margherita,pizza,0.7964
three different created queen strongly preferred swathed color italian flag red tomato green basil white mozzarella,pizza,0.4767
supposedly kind named queen although later research cast doubt legend,pizza,0.2263
official letter recognition queen head service remains display esposito shop called pizzeria brandi taken united state italian immigrant late nineteenth century first appeared area concentrated,pizza,0.4215
country first pizzeria lombardi opened new york city 1905,pizza,0.0
sold fresh frozen whole portion size slice,pizza,0.3182
method developed overcome challenge preventing sauce combining dough producing crust frozen reheated without becoming rigid,pizza,0.1456
frozen raw ingredient self rising crust,pizza,0.0
another form available take bake pizzeria,pizza,0.0
assembled store sold unbaked customer bake oven,pizza,0.0
restaurant baked oven fire brick heat source electric deck oven conveyor belt oven traditional style wood coal fired brick oven,pizza,-0.7184
slid oven long paddle called peel baked directly hot brick screen round metal grate typically aluminum whatever oven surface,pizza,0.0
use peel typically sprinkled cornmeal allow easily slide,pizza,0.5106
made home baked stone regular oven reproduce heating effect brick oven,pizza,0.0
cooking directly metal surface result rapid heat transfer crust burning,pizza,0.0
home chef use wood fired oven usually installed outdoors,pizza,-0.5574
restaurant often dome shaped oven century order achieve even heat distribution,pizza,0.0
another variation grilled baked directly barbecue grill,pizza,0.0
